date,LSTM,GRU
2018-03-18,52137.594,35562.035
2018-03-25,52309.41,36687.14
2018-04-01,48746.85,36662.984
2018-04-08,38458.04,36745.598
2018-04-15,33175.895,34416.223
2018-04-22,31754.248,32225.469
2018-04-29,26749.22,30158.61
2018-05-06,21145.277,28231.656
2018-05-13,17699.031,26504.83
2018-05-20,16908.62,25099.098
2018-05-27,19947.92,23480.297
2018-06-03,18206.678,23713.799
2018-06-10,15753.053,23171.854
2018-06-17,13420.743,22545.691
2018-06-24,12200.318,21878.705
2018-07-01,11870.31,21294.906
2018-07-08,12723.932,20683.371
2018-07-15,11454.943,20733.596
2018-07-22,11099.736,20440.486
2018-07-29,10516.451,20213.824
2018-08-05,10523.256,20058.959
2018-08-12,11147.276,19975.695
2018-08-19,12060.577,20067.701
2018-08-26,13538.287,20308.467
2018-09-02,15680.176,20873.465
2018-09-09,21765.293,21885.91
2018-09-16,29833.025,23642.816
2018-09-23,36101.32,25831.844
2018-09-30,37643.484,28001.795
2018-10-07,34728.223,29663.266
2018-10-14,32302.818,29990.344
2018-10-21,31107.037,29688.47
2018-10-28,30713.96,29229.855
2018-11-04,28544.822,28667.63
2018-11-11,27316.443,28211.62
2018-11-18,28789.465,27984.877
2018-11-25,32552.945,28103.799
2018-12-02,36689.0,28624.291
2018-12-09,37036.137,29886.299
2018-12-16,36712.582,30544.723
2018-12-23,36955.465,31006.059
2018-12-30,29010.639,30277.55
2019-01-06,23270.8,29013.363
2019-01-13,24381.574,28033.97
2019-01-20,31142.28,27653.137
2019-01-27,43248.65,27767.79
2019-02-03,45519.387,31345.861
2019-02-10,49589.414,33257.016
2019-02-17,49323.934,34760.008
2019-02-24,45200.17,35674.105
2019-03-03,39288.453,35177.844
2019-03-10,35939.395,33932.918
2019-03-17,35147.21,32563.191
2019-03-24,33879.863,31531.832
2019-03-31,32447.389,30439.062
2019-04-07,29152.51,30022.94
2019-04-14,28348.758,29015.95
2019-04-21,27890.586,28214.537
2019-04-28,23787.121,27348.004
2019-05-05,19073.322,26331.652
2019-05-12,17913.113,25214.922
2019-05-19,19009.629,24317.95
2019-05-26,20937.729,23590.809
2019-06-02,18653.082,23805.125
2019-06-09,15607.334,23468.373
2019-06-16,13876.799,22681.652
2019-06-23,12885.382,22030.223
2019-06-30,12809.476,21436.51
2019-07-07,12587.017,21009.303
2019-07-14,11732.08,20837.803
2019-07-21,11237.3955,20584.734
2019-07-28,11390.836,20384.367
2019-08-04,11822.441,20281.791
2019-08-11,11985.214,20317.605
2019-08-18,12127.507,20344.732
2019-08-25,12257.174,20460.828
2019-09-01,13668.713,20617.76
2019-09-08,17475.24,21180.688
2019-09-15,24600.975,22419.748
2019-09-22,32655.877,24392.045
2019-09-29,37812.137,26747.541
2019-10-06,38048.613,28900.682
2019-10-13,35608.312,30250.688
