,Model,R_2,MSE,MAE
0,ARIMA,0.372,0.33,0.47
1,SARIMA,0.102,0.47,0.57
2,Stacking,0.917,0.04,0.17
3,LSTM,-0.129,0.59,0.61
4,GRU,-0.024,0.54,0.64
5,ESN,0.997,0.0,0.03
6,HESN,0.998,0.0,0.02
7,DESN,1.0,0.0,0.01
8,FESN,0.903,0.05,0.17
