,Model,R_2,MSE,MAE
0,ARIMA,0.721,63232900.13,4782.27
1,SARIMA,0.661,0.0,0.03
2,Prophet,0.74,58998580.02,5004.42
3,Stacking,0.34,149753337.98,9043.87
4,LSTM,0.636,84585500.65,8153.9
5,GRU,0.216,182323477.15,10806.16
6,ESN,0.922,0.0,0.02
7,HESN,0.892,0.0,0.02
8,DESN,-1.6,0.0,0.02
9,FESN,0.818,0.0,0.03
