iter	RMSE
280	3.263201329
281	3.2622494
282	3.259695623
283	3.257669566
284	3.257528271
285	3.25685436
286	3.256311423
287	3.255563287
288	3.255134716
289	3.254971574
290	3.252970928
291	3.252592113
292	3.251426099
293	3.248987045
294	3.248698778
295	3.248074639
296	3.246970369
297	3.246670028
298	3.244742497
299	3.244630931
300	3.243456439
301	3.243063543
302	3.242009968
303	3.240909797
304	3.24067181
305	3.240479825
306	3.240102027
307	3.240005715
308	3.239144252
309	3.238573926
310	3.237778906
311	3.237335584
312	3.237054335
313	3.233464187
314	3.232547674
315	3.231802546
316	3.231394766
317	3.231147418
318	3.230461589
319	3.229821193
320	3.228107864
321	3.227645738
322	3.226932054
323	3.226685528
324	3.226278433
325	3.226072881
326	3.225899319
327	3.225426387
328	3.224685249
329	3.224449464
330	3.224204265
331	3.224039051
332	3.223625786
333	3.223360588
334	3.223153157
335	3.221859374
336	3.221388909
337	3.221170604
338	3.22046754
339	3.218463628
340	3.216823078
341	3.215304451
342	3.214366716
343	3.213516805
344	3.213399357
345	3.210449319
346	3.210207283
347	3.209936233
348	3.209703207
349	3.209295691
350	3.207868051
351	3.207473373
352	3.206384567
353	3.206026313
354	3.205749797
355	3.205270258
356	3.20492844
357	3.203114166
358	3.202973604
359	3.202626959
360	3.202424063
361	3.202243203
362	3.2017846
363	3.200974002
364	3.200772308
365	3.199884087
366	3.199021992
367	3.198862543
368	3.198789584
369	3.19484008
370	3.194310013
371	3.194026194
372	3.192201412
373	3.191713936
374	3.187519421
375	3.185050303
376	3.183789875
377	3.183490859
378	3.183384841
379	3.182644336
380	3.182095451
381	3.181904524
382	3.181717003
383	3.18063161
384	3.180454328
385	3.180136521
386	3.179651827
387	3.179499296
388	3.179298713
389	3.178923615
390	3.178480737
391	3.177888642
392	3.177518163
393	3.177378567
394	3.176429385
395	3.176250113
396	3.172293647
397	3.170248293
398	3.169188397
399	3.168589581
400	3.168407906
401	3.167177799
402	3.166791967
403	3.163313659
404	3.163021987
405	3.16285314
406	3.162588735
407	3.162435808
408	3.162295446
409	3.161911845
410	3.161789125
411	3.161626226
412	3.161543479
413	3.16095213
414	3.160576866
415	3.16009938
416	3.159846924
417	3.15917086
418	3.159012533
419	3.158534077
420	3.15847123
421	3.157697817
422	3.157078101
423	3.156471562
424	3.156178956
425	3.155969204
426	3.153248506
427	3.15294968
428	3.152651364
429	3.150710433
430	3.150545619
431	3.150368565
432	3.149747597
433	3.148117557
434	3.147819152
435	3.144993877
436	3.14469612
437	3.144287834
438	3.144052561
439	3.143906632
440	3.143720087
441	3.141097854
442	3.140841186
443	3.140613053
444	3.140435088
445	3.140189186
446	3.139336674
447	3.13922462
448	3.138675614
449	3.1385795
450	3.138295138
451	3.137792043
452	3.135122187
453	3.132773922
454	3.13232999
455	3.132179925
456	3.131963663
457	3.131866753
458	3.130662717
459	3.130169131
460	3.129972464
461	3.127090776
462	3.127006304
463	3.125978306
464	3.125417988
465	3.124972974
466	3.124818567
467	3.12435087
468	3.123858592
469	3.121797825
470	3.120760213
471	3.119537725
472	3.118525285
473	3.118209435
474	3.117942434
475	3.117210358
476	3.117128925
477	3.116998214
478	3.116896786
479	3.116827428
480	3.116287904
481	3.116056734
482	3.11582789
483	3.115641837
484	3.115340056
485	3.115130213
486	3.115003336
487	3.114812587
488	3.113987433
489	3.113406576
490	3.113284709
491	3.11305266
492	3.112276762
493	3.112028999
494	3.111647958
495	3.111278372
496	3.111159904
497	3.110872002
498	3.110614381
499	3.110378331
500	3.110287511
501	3.109993835
502	3.108518812
503	3.106105166
504	3.106007483
505	3.105873002
506	3.105617805
507	3.104756637
508	3.102738513
509	3.102293668
510	3.101978259
511	3.10152013
512	3.100676557
513	3.098616029
514	3.098171202
515	3.097666472
516	3.097125562
517	3.09696686
518	3.095797396
519	3.095548506
520	3.095358161
521	3.095038311
522	3.094864036
523	3.094735763
524	3.094161683
525	3.093728786
526	3.092837433
527	3.092735769
528	3.09252205
529	3.091351415
530	3.091175542
531	3.090952187
532	3.090341939
533	3.090020222
534	3.087939362
535	3.087797431
536	3.087177887
537	3.086850728
538	3.086744626
539	3.086704952
540	3.08659781
541	3.08506054
542	3.084928856
543	3.084185869
544	3.08391459
545	3.083795844
546	3.083670807
547	3.083285201
548	3.082882571
549	3.082395481
550	3.081763497
551	3.081442881
552	3.075108272
553	3.074811513
554	3.074647896
555	3.074151921
556	3.073404788
557	3.073322058
558	3.071842949
559	3.071627206
560	3.07149658
561	3.070366012
562	3.070233411
563	3.070135998
564	3.069937365
565	3.068522475
566	3.068338159
567	3.068015986
568	3.067362809
569	3.065645795
570	3.065068308
571	3.064936372
572	3.06444863
573	3.063921919
574	3.06380756
575	3.063734031
576	3.063441454
577	3.062503844
578	3.062433669
579	3.062323905
580	3.062187018
581	3.062041761
582	3.061628411
583	3.061420154
584	3.060855067
585	3.05924198
586	3.058863593
587	3.058536788
588	3.058437923
589	3.058372281
590	3.058285626
591	3.058145681
592	3.057983793
593	3.056570261
594	3.056411105
595	3.05627292
596	3.05439247
597	3.054023335
598	3.053805797
599	3.053729478
600	3.050058068
601	3.049967067
602	3.049639439
603	3.049377243
604	3.049207339
605	3.049170979
606	3.049027641
607	3.048931638
608	3.048559756
609	3.048430568
610	3.048172601
611	3.048003444
612	3.047647403
613	3.047481596
614	3.047299119
615	3.046814803
616	3.046761137
617	3.046688264
618	3.046260056
619	3.045080893
620	3.044437288
621	3.044323754
622	3.043549765
623	3.043403247
624	3.043224782
625	3.041707254
626	3.041524865
627	3.041427776
628	3.04106541
629	3.040724238
630	3.040677779
631	3.040429008
632	3.039868923
633	3.03930877
634	3.039234048
635	3.039087665
636	3.038977293
637	3.037776287
638	3.037036032
639	3.03640771
640	3.035969313
641	3.035303019
642	3.035227066
643	3.034431277
644	3.03433
645	3.033968944
646	3.033797373
647	3.033608645
648	3.033270639
649	3.032912619
650	3.030798499
651	3.030268571
652	3.029905176
653	3.029538795
654	3.02922853
655	3.029067855
656	3.028969158
657	3.028905372
658	3.028806554
659	3.028625538
660	3.027994777
661	3.027940756
662	3.022551052
663	3.02218613
664	3.022011532
665	3.021682608
666	3.02122163
667	3.021008491
668	3.020013
669	3.019709422
670	3.019629516
671	3.01929089
672	3.018997335
673	3.018717579
674	3.018674628
675	3.018647949
676	3.018517511
677	3.018152903
678	3.01704399
679	3.0166749
680	3.016477672
681	3.016259234
682	3.016039529
683	3.015054651
684	3.014772548
685	3.014657864
686	3.014450599
687	3.014394937
688	3.014267224
689	3.012985881
690	3.012830611
691	3.01252393
692	3.010959584
693	3.009931243
694	3.009541944
695	3.009105848
696	3.007976506
697	3.007862653
698	3.007752589
699	3.007637004
700	3.007469227
701	3.007148031
702	3.006787717
703	3.006496138
704	3.00637545
705	3.006310295
706	3.005819001
707	3.005745484
708	3.005045235
709	3.004522252
710	3.004082655
711	3.004000185
712	3.003629723
713	3.003513864
714	3.003450083
715	3.003237253
716	3.002235157
717	3.001160192
718	3.000180468
719	2.999696865
720	2.999560876
721	2.998556476
722	2.99830081
723	2.997911493
724	2.997779182
725	2.996610956
726	2.996457627
727	2.996294304
728	2.995354575
729	2.995206266
730	2.994527334
731	2.994361866
732	2.993886665
733	2.993061762
734	2.992159935
735	2.991787407
736	2.991737471
737	2.990675731
738	2.990564191
739	2.990405927
740	2.989784529
741	2.98962434
742	2.989287828
743	2.988912155
744	2.988705163
745	2.988625086
746	2.988456256
747	2.988150099
748	2.988065096
749	2.987777553
750	2.987556315
751	2.986776997
752	2.986723773
753	2.986409379
754	2.986367285
755	2.984482747
756	2.983975133
757	2.983874824
758	2.983757037
759	2.982319202
760	2.981814875
761	2.981736823
762	2.980826955
763	2.980261299
764	2.980131367
765	2.979934431
766	2.979850595
767	2.979486498
768	2.979040432
769	2.978660895
770	2.977922635
771	2.977528053
772	2.977143525
773	2.976807712
774	2.976658947
775	2.976608831
776	2.976551952
777	2.976364265
778	2.976307423
779	2.976197885
780	2.976046644
781	2.975956032
782	2.975669273
783	2.97534928
784	2.975290323
785	2.975138285
786	2.974888926
787	2.974795875
788	2.974552116
789	2.97450518
790	2.973962457
791	2.973862531
792	2.973342073
793	2.972999838
794	2.97261724
795	2.972534299
796	2.972437219
797	2.972219267
798	2.972140582
799	2.971835052
800	2.971470708
801	2.971350376
802	2.971279772
803	2.971148638
804	2.970435033
805	2.970120143
806	2.969645771
807	2.969245784
808	2.969183113
809	2.9689479
810	2.968818023
811	2.968746541
812	2.968359502
813	2.968070735
814	2.967769683
815	2.967705199
816	2.96765472
817	2.96746901
818	2.967338994
819	2.966983424
820	2.966662724
821	2.966378615
822	2.965970514
823	2.965417184
824	2.964604307
825	2.964550435
826	2.964244225
827	2.963096325
828	2.96269478
829	2.962493947
830	2.962356153
831	2.96205032
832	2.962007614
833	2.961827573
834	2.961364981
835	2.96119217
836	2.961112133
837	2.961042049
838	2.960870864
839	2.960759918
840	2.96046865
841	2.960194765
842	2.959679451
843	2.959526227
844	2.959462755
845	2.95926927
846	2.959071711
847	2.958849201
848	2.957929284
849	2.957867274
850	2.957633867
851	2.957551513
852	2.957444642
853	2.957341831
854	2.957220812
855	2.957101917
856	2.956637978
857	2.95659958
858	2.95652068
859	2.956104423
860	2.955742107
861	2.955523418
862	2.955113233
863	2.95498612
864	2.954895815
865	2.954842572
866	2.954521457
867	2.954472762
868	2.954295743
869	2.95423364
870	2.954068184
871	2.953767537
872	2.953587368
873	2.953553692
874	2.95349453
875	2.953229104
876	2.953162049
877	2.953004291
878	2.952946905
879	2.952287747
880	2.952179054
881	2.951573943
882	2.951056299
883	2.950957315
884	2.950911214
885	2.950880711
886	2.950826482
887	2.950465768
888	2.950413934
889	2.949323714
890	2.94927991
891	2.949257799
892	2.949222401
893	2.948890407
894	2.948279367
895	2.948182418
896	2.947937751
897	2.947545605
898	2.947411207
899	2.947291672
900	2.946729536
901	2.94655983
902	2.946114579
903	2.945970807
904	2.945907814
905	2.945176405
906	2.945087734
907	2.944928732
908	2.944840053
909	2.944764543
910	2.944652032
911	2.944221663
912	2.943837156
913	2.943580894
914	2.943160079
915	2.942679182
916	2.942650241
917	2.942588036
918	2.940266142
919	2.940203276
920	2.940125386
921	2.940081809
922	2.939174262
923	2.939136063
924	2.93860659
925	2.938358633
926	2.937893451
927	2.937829553
928	2.937781657
929	2.937711098
930	2.93764537
931	2.936127762
932	2.936086352
933	2.935987561
934	2.93593541
935	2.935805725
936	2.935476274
937	2.935396055
938	2.935331323
939	2.934989562
940	2.934759284
941	2.934684272
942	2.934325673
943	2.933952907
944	2.933891874
945	2.933766543
946	2.933440181
947	2.93316399
948	2.933054819
949	2.932585693
950	2.932515081
951	2.932453891
952	2.932391178
953	2.932112544
954	2.931822847
955	2.931405149
956	2.931329479
957	2.931321422
958	2.93123009
959	2.930885643
960	2.930682785
961	2.929549179
962	2.928745143
963	2.92816972
964	2.928106084
965	2.927739227
966	2.927558015
967	2.927306811
968	2.927248471
969	2.926979226
970	2.925635226
971	2.925459765
972	2.925213137
973	2.924509654
974	2.92445985
975	2.923668157
976	2.922850564
977	2.92241772
978	2.922350048
979	2.922000137
980	2.921305747
981	2.921045175
982	2.920599756
983	2.920557229
984	2.920516538
985	2.920416953
986	2.920205988
987	2.919697283
988	2.919565597
989	2.919368989
990	2.919330713
991	2.919216652
992	2.919052564
993	2.919049858
994	2.91888826
995	2.918745821
996	2.91869345
997	2.918606
998	2.918012281
999	2.917857424
