iter	Passed	Remaining
399	30930	46395
400	30994	46298
401	31069	46217
402	31134	46122
403	31214	46049
404	31290	45969
405	31357	45878
406	31420	45780
407	31487	45688
408	31570	45619
409	31642	45534
410	31725	45465
411	31809	45398
412	31883	45316
413	31967	45248
414	32116	45272
415	32193	45194
416	32265	45109
417	32344	45034
418	32402	44930
419	32478	44851
420	32540	44753
421	32609	44663
422	32685	44584
423	32757	44500
424	32833	44422
425	32900	44330
426	32977	44252
427	33060	44183
428	33141	44111
429	33223	44039
430	33303	43966
431	33390	43902
432	33460	43816
433	33535	43734
434	33602	43645
435	33682	43570
436	33753	43485
437	33814	43388
438	33880	43296
439	33942	43199
440	34010	43111
441	34080	43024
442	34142	42928
443	34212	42842
444	34276	42749
445	34336	42651
446	34400	42558
447	34455	42453
448	34522	42364
449	34586	42271
450	34653	42183
451	34725	42100
452	34807	42030
453	34886	41956
454	34964	41880
455	35045	41808
456	35122	41731
457	35200	41655
458	35291	41596
459	35374	41526
460	35467	41468
461	35565	41415
462	35641	41337
463	35732	41277
464	35828	41222
465	35920	41162
466	35987	41073
467	36054	40985
468	36124	40899
469	36205	40827
470	36291	40760
471	36361	40675
472	36441	40601
473	36503	40508
474	36573	40423
475	36648	40343
476	36713	40253
477	36778	40163
478	36841	40071
479	36903	39978
480	36969	39890
481	37049	39816
482	37121	39735
483	37189	39648
484	37266	39572
485	37343	39495
486	37410	39408
487	37488	39332
488	37644	39338
489	37736	39276
490	37814	39201
491	37908	39141
492	38006	39086
493	38086	39011
494	38165	38936
495	38247	38864
496	38325	38787
497	38422	38731
498	38499	38653
499	38575	38575
500	38662	38508
501	38737	38429
502	38819	38356
503	38907	38290
504	38988	38215
505	39065	38138
506	39130	38049
507	39209	37974
508	39288	37898
509	39352	37809
510	39427	37730
511	39502	37651
512	39574	37569
513	39647	37487
514	39714	37400
515	39782	37315
516	39857	37236
517	39921	37146
518	39996	37067
519	40069	36987
520	40141	36905
521	40207	36818
522	40271	36729
523	40336	36641
524	40414	36565
525	40481	36479
526	40566	36409
527	40635	36325
528	40705	36242
529	40769	36154
530	40846	36077
531	40905	35984
532	40975	35901
533	41056	35828
534	41129	35747
535	41199	35665
536	41268	35581
537	41333	35494
538	41394	35404
539	41454	35312
540	41534	35239
541	41654	35198
542	41725	35116
543	41802	35040
544	41890	34973
545	41966	34895
546	42051	34824
547	42139	34757
548	42206	34672
549	42285	34597
550	42382	34536
551	42460	34460
552	42550	34394
553	42626	34317
554	42696	34233
555	42786	34167
556	42874	34099
557	42941	34014
558	43037	33952
559	43105	33868
560	43180	33790
561	43265	33719
562	43340	33640
563	43412	33560
564	43479	33475
565	43603	33434
566	43675	33353
567	43752	33276
568	43839	33207
569	43919	33132
570	44000	33058
571	44077	32981
572	44159	32907
573	44240	32833
574	44303	32746
575	44368	32660
576	44453	32588
577	44547	32524
578	44621	32444
579	44696	32366
580	44763	32282
581	44835	32201
582	44911	32123
583	44971	32034
584	45058	31964
585	45160	31905
586	45232	31824
587	45311	31748
588	45400	31680
589	45504	31621
590	45582	31545
591	45655	31465
592	45724	31382
593	45822	31319
594	45905	31246
595	45994	31177
596	46094	31115
597	46192	31052
598	46276	30979
599	46351	30900
600	46431	30825
601	46500	30743
602	46576	30665
603	46655	30588
604	46720	30503
605	46790	30421
606	46861	30340
607	46927	30256
608	47001	30176
609	47062	30088
610	47130	30006
611	47194	29920
612	47264	29839
613	47346	29765
614	47420	29686
615	47486	29601
616	47559	29522
617	47621	29436
618	47696	29357
619	47777	29282
620	47851	29204
621	47918	29120
622	47992	29042
623	48065	28962
624	48133	28880
625	48217	28807
626	48290	28728
627	48361	28647
628	48443	28573
629	48508	28489
630	48571	28403
631	48645	28324
632	48715	28244
633	48785	28163
634	48854	28081
635	48930	28004
636	48994	27919
637	49075	27845
638	49147	27765
639	49234	27694
640	49325	27625
641	49408	27551
642	49469	27465
643	49547	27389
644	49613	27306
645	49687	27228
646	49755	27146
647	49832	27069
648	49916	26996
649	49998	26922
650	50076	26845
651	50148	26766
652	50222	26688
653	50299	26611
654	50392	26542
655	50465	26463
656	50531	26381
657	50590	26294
658	50647	26207
659	50708	26122
660	50801	26053
661	50882	25979
662	50964	25905
663	51048	25831
664	51127	25755
665	51207	25680
666	51284	25604
667	51360	25526
668	51457	25459
669	51540	25385
670	51610	25305
671	51700	25234
672	51773	25155
673	51836	25072
674	51894	24986
675	51955	24901
676	52028	24823
677	52099	24743
678	52168	24663
679	52236	24582
680	52303	24500
681	52372	24420
682	52439	24338
683	52515	24261
684	52592	24185
685	52660	24104
686	52731	24024
687	52794	23941
688	52873	23865
689	52962	23794
690	53045	23720
691	53144	23653
692	53246	23588
693	53331	23515
694	53418	23442
695	53502	23368
696	53599	23300
697	53680	23225
698	53751	23146
699	53819	23065
700	53892	22987
701	53958	22905
702	54022	22823
703	54096	22744
704	54155	22660
705	54228	22582
706	54314	22509
707	54381	22428
708	54454	22350
709	54532	22273
710	54606	22196
711	54666	22112
712	54746	22036
713	54824	21960
714	54887	21878
715	54948	21795
716	55029	21720
717	55113	21646
718	55187	21568
719	55262	21491
720	55335	21412
721	55408	21334
722	55475	21254
723	55545	21174
724	55613	21094
725	55695	21020
726	55759	20938
727	55820	20855
728	55884	20774
729	55951	20694
730	56020	20615
731	56096	20537
732	56174	20461
733	56244	20382
734	56321	20306
735	56394	20228
736	56452	20145
737	56530	20068
738	56595	19988
739	56663	19908
740	56738	19831
741	56805	19751
742	56864	19669
743	56925	19587
744	56987	19505
745	57053	19425
746	57125	19347
747	57185	19265
748	57257	19187
749	57330	19110
750	57401	19031
751	57477	18955
752	57542	18875
753	57617	18798
754	57682	18718
755	57761	18642
756	57830	18563
757	57894	18483
758	57961	18404
759	58049	18331
760	58143	18260
761	58213	18182
762	58304	18110
763	58407	18042
764	58489	17967
765	58563	17890
766	58660	17820
767	58743	17745
768	58823	17669
769	58906	17595
770	58993	17521
771	59079	17448
772	59167	17375
773	59241	17298
774	59324	17223
775	59384	17142
776	59459	17064
777	59533	16987
778	59598	16908
779	59672	16830
780	59733	16749
781	59797	16669
782	59863	16590
783	59938	16513
784	59999	16432
785	60071	16355
786	60132	16274
787	60197	16195
788	60269	16117
789	60326	16036
790	60391	15956
791	60463	15879
792	60532	15801
793	60611	15725
794	60687	15649
795	60765	15573
796	60827	15493
797	60890	15413
798	60959	15335
799	61024	15256
800	61102	15180
801	61170	15102
802	61260	15028
803	61328	14950
804	61389	14870
805	61465	14794
806	61546	14719
807	61626	14643
808	61701	14567
809	61768	14488
810	61835	14410
811	61898	14331
812	61973	14254
813	62055	14179
814	62120	14101
815	62194	14024
816	62264	13946
817	62338	13869
818	62400	13790
819	62477	13714
820	62547	13637
821	62626	13561
822	62704	13485
823	62776	13408
824	62841	13330
825	62906	13251
826	62980	13174
827	63065	13100
828	63136	13023
829	63220	12948
830	63293	12871
831	63373	12796
832	63443	12719
833	63516	12642
834	63601	12567
835	63672	12490
836	63735	12412
837	63817	12337
838	63885	12259
839	63949	12180
840	64022	12104
841	64091	12026
842	64167	11950
843	64238	11873
844	64301	11795
845	64379	11719
846	64453	11642
847	64522	11565
848	64587	11487
849	64657	11410
850	64739	11335
851	64822	11260
852	64898	11184
853	64971	11107
854	65044	11030
855	65112	10953
856	65191	10877
857	65263	10801
858	65329	10723
859	65412	10648
860	65490	10572
861	65573	10497
862	65657	10423
863	65735	10347
864	65806	10270
865	65878	10193
866	65950	10116
867	66016	10039
868	66099	9964
869	66166	9886
870	66239	9810
871	66305	9732
872	66391	9658
873	66470	9582
874	66546	9506
875	66623	9430
876	66692	9353
877	66763	9276
878	66847	9201
879	66930	9126
880	67016	9052
881	67099	8977
882	67187	8902
883	67248	8824
884	67305	8745
885	67390	8671
886	67472	8595
887	67550	8519
888	67613	8442
889	67679	8364
890	67737	8286
891	67796	8208
892	67854	8130
893	67921	8053
894	68002	7977
895	68075	7901
896	68153	7825
897	68233	7750
